Redshift,L2-8(x10^42),LAGN(x10^43),LIR_SF(x10^44),LIR_SF_err_high,LIR_SF_err_low,SFR,SFR_err_high,SFR_err_low
0.38,1.7,1.9,1.4,0.3,0.3,4,1,1
0.36,3.6,4.5,1.3,0.3,0.3,3,1,1
0.39,23,69,2.9,0.5,0.5,8,1,1
0.65,2,2.3,3.1,0.6,0.7,8,2,2
0.68,3.7,4.6,3.6,0.8,0.8,10,2,2
0.66,5.9,7.9,4.3,0.6,0.6,11,2,2
0.68,8.2,12,5.2,1.1,1.1,14,3,3
0.67,12,19,3.9,0.6,0.6,10,2,2
0.68,21,39,6.8,2.2,2.2,18,6,6
0.67,60,180,8.8,2.4,2.4,23,6,7
1.11,1.6,1.8,16,6,6,43,15,15
1.04,3.4,4.2,9.7,2.2,2.3,26,6,6
1.02,5.1,6.8,8.8,1,1,23,3,3
1,6.4,8.8,9.7,2.2,2.3,26,6,6
1.1,7.9,11,16,4,4,43,10,10
1.1,9.5,14,11,3,3,30,8,8
1.09,11,18,15,2,2,39,5,5
1.07,16,28,9,1.8,1.8,24,5,5
1.15,19,33,15,2,2,39,6,6
1.13,22,41,13,2,2,34,6,6
1.14,25,49,15,4,3,40,9,9
1.14,28,58,13,2,2,35,6,6
1.17,34,73,11,2,2,29,6,6
1.14,39,87,15,3,3,40,8,8
1.11,44,100,9.6,1.6,1.6,25,4,4
1.13,50,120,15,2,2,39,5,5
1.14,60,160,19,5,5,50,13,13
1.19,70,200,16,2,2,41,6,6
1.16,85,260,15,3,3,39,7,7
1.2,110,390,14,3,3,37,7,7
1.2,150,590,23,4,4,60,11,11
1.31,430,4500,35,7,7,91,18,18
1.88,3.2,4,33,6,6,88,15,16
1.83,11,17,32,6,6,86,16,16
1.86,24,46,36,6,6,94,16,16
1.9,30,63,42,6,6,112,16,16
1.88,38,85,38,8,8,101,21,21
2.02,73,210,44,6,6,116,16,16
1.94,85,260,37,5,5,98,12,12
1.95,120,440,38,9,7,100,25,19
1.89,140,570,56,11,11,148,28,29
2.01,210,1000,32,6,6,86,15,15
1.94,260,1400,57,6,6,150,16,16
1.91,360,2500,31,5,6,82,14,15
2.09,800,12000,48,12,12,86,32,33
