   43.6672 1    43.7171 1    194.767 1
   44.0869 1    43.7562 1    126.962 1
   44.1516 1    44.1676 1    162.946 1
   44.2773 1    44.0493 1    176.545 1
   43.5221 1    42.5915 1    86.9732 1
     42.77 1    43.0552 1    51.8689 1
   43.7838 1    44.0038 1    181.091 1
   43.7464 1    44.1012 1    210.605 1
   43.7402 1    44.3155 1    203.915 1
   43.5476 1    43.4348 1    153.632 1
   43.8108 1    43.7121 0    160.649 1
   43.0817 1    42.8464 1    81.0025 1
   43.5877 1    43.8812 1    158.426 1
   44.0563 1    44.3115 1    199.338 1
   43.1777 1    42.7419 0    48.6777 1
   42.9459 1    42.5759 1     69.325 1
    44.239 1    43.9041 1    154.097 1
   43.8909 1    44.4666 1    148.819 1
   44.2624 1     43.941 1    208.499 1
   43.6803 1    44.3331 1      181.1 1
    43.667 1    44.4642 1     128.77 1
   43.8304 1      43.59 0    127.781 1
   43.9521 1    43.2429 1    207.582 1
    44.021 1    43.4231 1     172.46 1
   43.6885 1    43.5528 1    163.588 1
   43.9066 1    42.8967 1    187.311 1
   43.5154 1    43.7739 1    172.006 1
   43.6682 1    42.6309 1    173.004 1
   43.7398 1    44.2212 1    162.946 1
   43.5127 1    43.6026 1     104.34 1
   44.1263 1    43.7908 1    144.674 1
   43.8058 1    43.6535 1    158.629 1
   43.4352 1     43.644 1     120.94 1
   43.0778 1    43.4219 1    100.404 1
   43.2358 1     42.844 1    122.493 1
   43.9935 1    44.2033 1    184.687 1
   42.7771 1     42.319 1    52.8199 1
   43.3339 1    43.0948 1    102.267 1
   44.0881 1    43.0155 1    206.207 1
    43.715 1    42.9732 0    166.114 1
    44.166 1     44.601 1    197.541 1
   43.6568 1    43.5493 1    164.706 1
   44.0055 1    43.2645 1     135.92 1
   44.0007 1    44.2095 1    185.643 1
   42.7369 1    43.3547 1     44.263 1
   43.7508 1    43.5728 1    176.627 1
   43.8262 1    44.5962 1    163.484 1
   43.2995 1    42.8792 1    111.918 1
   43.1233 1    42.9723 1    62.3563 1
   43.5026 1    44.0211 1    115.869 1
   43.5021 1    43.7445 1    109.125 1
   44.0593 1    43.7443 1    153.912 1
   43.1462 1    43.2544 0    65.6589 1
   43.6024 1    43.8097 1    55.7055 1
   43.6069 1    43.6625 1    169.816 1
   43.9461 1    43.5844 1    131.321 1
   43.9014 1    43.8483 1    180.386 1
   43.5292 1    43.6697 1    97.7851 1
   43.3851 1    43.3347 1    105.423 1
   43.2963 1    42.9464 1    91.7928 1
   44.0815 1    43.8226 1    93.1593 1
   44.2383 1     44.241 1    143.612 1
   43.5155 1      42.93 1    118.321 1
    43.155 1    43.6919 1     93.031 1
   43.2984 1    43.4315 1    121.953 1
   43.4047 1    43.3148 1    144.898 1
   43.1325 1    42.7433 1    111.843 1
   43.7797 1    43.8527 1    194.767 1
   43.7661 1    44.3447 1     205.29 1
    43.472 1    43.1122 1    104.313 1
   43.7477 1    44.3169 1    128.707 1
    43.256 1    43.4792 1    75.9803 1
   43.4012 1    43.8498 1    108.236 1
   43.9221 1    44.0838 1     211.45 1
   42.3272 1    42.6987 0       3.57 1
   42.2903 1    42.6871 0         22 1
   43.3377 1    43.1871 1    120.792 1
   43.1975 1    43.8104 1    78.5981 1
